upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1797	techotaku39	14df9508dd684702ec5368161e2943b72dab2b1e	carry	ready	clear	clean	14df9508dd684702ec5368161e2943b72dab2b1e	proportional	accepted-change	maintained carry; ready and clean
pr-1793	heavygee	a2f8f3a8298ea4a82c08d721696027c9a6a0e415	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1791	techotaku39	2212dfe050ea23b1edb293347d9e2879e199ac73	defer	ready	review	review	-	review-large	review	new or changed PR head; awaiting upstream review
pr-1788	techotaku39	b76e0dc1d0a90d5ff76e40b390ccdfc988ea4518	defer	ready	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1787	techotaku39	7771ed305317ee964ae21a8fa468db24a060e239	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1778	techotaku39	d4f2d098aa5e23e24697dfb05a80bd0b023d294d	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1772	techotaku39	b7c5961d5786d576076124f3efd842e3e8c0463e	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1771	swear01	95558c3a3b61486d48217b5fc8caa627cff3de68	carry	merge-dirty	clear	clean	95558c3a3b61486d48217b5fc8caa627cff3de68	exception	accepted-change	personal author auto-carry; maintained fork behavior
pr-1762	heavygee	30b531a4f494b1df058f14e75e3d04e2318e471c	defer	draft	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1758	techotaku39	b9c69bd2194cfc24211b48ef6afac8b477fe23f5	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1753	heavygee	d5fa8963fa91b825a04af6532a9d870dbd466088	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1747	wu736139669	a8e8d6e91b8c6f8a8b3495fb6ba214cdc8594eb6	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1738	heavygee	5a695fbd1bd367fe15835f9f9742cc37fe9fc160	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1733	heavygee	ef4636a9fa07932dabaeec76a6e8263d21bfdd78	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1729	techotaku39	f04288cacaae35ee2c50b381bc4db5604eb03f80	carry	ready	clear	clean	f04288cacaae35ee2c50b381bc4db5604eb03f80	proportional	accepted-change	maintained carry; ready and clean
pr-1728	techotaku39	7a93bb406734417589da0be5d344161cdd0723b9	carry	ready	clear	clean	7a93bb406734417589da0be5d344161cdd0723b9	proportional	accepted-change	maintained carry; ready and clean
pr-1727	techotaku39	51084ca52b89d0627c7606200ad39ae5121d447a	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1726	techotaku39	32d49896062b1a463815fee1614feb503b8d9cee	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1725	heavygee	fa9a3dbaa757574260607dde3e09cfd78c833f83	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1722	techotaku39	97f2636f81939185e195c27291e5997be20506bd	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1721	Zwanan-github	02840df43b4f07bbb8ce60ea55264199287dd295	carry	ready	clear	clean	02840df43b4f07bbb8ce60ea55264199287dd295	proportional	accepted-change	maintained carry; ready and clean
pr-1720	techotaku39	26d533fc5e0fb8c4afd62df76bd8652ce7be2ac8	carry	ready	clear	clean	26d533fc5e0fb8c4afd62df76bd8652ce7be2ac8	proportional	accepted-change	maintained carry; ready and clean
pr-1718	heavygee	4bd39ff866aa40f4d0eae4bb69cffcfeb60f5063	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1715	HongChenGG	8eea473175ea5b94f2d29fd19bffbfaeb93e9dbd	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
